source_site,micro_area,topology,price_ksh,sq_ft,borehole,parking,security,content_hash
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"Available for rent is this nicely done and very spacious 3 bedroom apartment... Located in... Nairobi, Parklands/Highridge"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,Available for rent is this nicely done and very spacious 3 bedroom apartment... Located in...
Jiji Kenya,Kimbo for rent A Seven Bedroom Mansion,Mansionette,150000,0,0,0,0,"KSh 150,000 per month 7bdrm Mansion in Kimbo for rent A Seven Bedroom Mansion,with Lounge.Sitted on half an acre piece of land.
Beautiful compound wit"
Jiji Kenya,Nairobi Region,Mansionette,0,0,0,0,0,"A Seven Bedroom Mansion,with Lounge.Sitted on half an acre piece of land.
Beautiful compound with... Kiambu, Ruiru"
Jiji Kenya,Nairobi Region,Mansionette,0,0,0,0,0,"A Seven Bedroom Mansion,with Lounge.Sitted on half an acre piece of land.
Beautiful compound with..."
Jiji Kenya,Gl,Apartment,130000,0,0,0,0,"Verified ID   5+ years on Jiji  KSh 130,000 per month 2bdrm Apartment in Gl, Riverside Drive for rent This is a modern very spacious newly built apart"
Jiji Kenya,Gl,Apartment,130000,0,0,0,0,"KSh 130,000 per month 2bdrm Apartment in Gl, Riverside Drive for rent This is a modern very spacious newly built apartment, located in Westlands and v"
Jiji Kenya,Gl,Apartment,130000,0,0,0,0,"KSh 130,000 per month 2bdrm Apartment in Gl, Riverside Drive for rent"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"This is a modern very spacious newly built apartment, located in Westlands and very close to... Nairobi, Lavington"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"This is a modern very spacious newly built apartment, located in Westlands and very close to..."
Jiji Kenya,Off Links Road,Apartment,50000,0,0,0,0,"5+ years on Jiji  KSh 50,000 per month 3bdrm Apartment in Off Links Road, Nyali for rent A modern apartment with great finishes on the first floor. Lo"
Jiji Kenya,Off Links Road,Apartment,50000,0,0,0,0,"KSh 50,000 per month 3bdrm Apartment in Off Links Road, Nyali for rent A modern apartment with great finishes on the first floor. Located off links ro"
Jiji Kenya,Off Links Road,Apartment,50000,0,0,0,0,"KSh 50,000 per month 3bdrm Apartment in Off Links Road, Nyali for rent"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"A modern apartment with great finishes on the first floor. Located off links road, easily... Mombasa, Nyali"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"A modern apartment with great finishes on the first floor. Located off links road, easily..."
Jiji Kenya,Nairobi Region,Apartment,100000,0,0,0,0,"5+ years on Jiji  DIAMOND KSh 100,000 per month Furnished 1bdrm Apartment in Kilimani for rent Apartment for Rent – Kilimani, Nairobi
 Kilimani, Nairo"
Jiji Kenya,Nairobi Region,Apartment,100000,0,0,0,0,"KSh 100,000 per month Furnished 1bdrm Apartment in Kilimani for rent Apartment for Rent – Kilimani, Nairobi
 Kilimani, Nairobi
 KES 100,000/month or K"
Jiji Kenya,Kilimani for rent,Apartment,100000,0,0,0,0,"KSh 100,000 per month Furnished 1bdrm Apartment in Kilimani for rent"
Jiji Kenya,Nairobi Region,Apartment,100000,0,0,0,0,"Apartment for Rent – Kilimani, Nairobi
 Kilimani, Nairobi
 KES 100,000/month or KES 6,000/day
Modern... Nairobi, Kilimani"
Jiji Kenya,Nairobi Region,Apartment,100000,0,0,0,0,"Apartment for Rent – Kilimani, Nairobi
 Kilimani, Nairobi
 KES 100,000/month or KES 6,000/day
Modern..."
