region_cluster,micro_area,topology,price_ksh,sq_ft,borehole,parking,security,content_hash
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,129200,0,0,0,0,"Serviced 1 Bed Apartment with Backup Generator in Nyari
                                         
 
 
 
 
 
                                          "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,160000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
         
 
 
   17 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 
   
 
 
 
 
 
 
 
 
 
     
                  "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,130000,54,0,0,0,"Serviced 1 Bed Apartment with En Suite at Lis1018
                                         
 
 
 
 
 
                                                "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,180000,80,0,0,0,"Furnished 2 Bed Apartment with En Suite at Westlands Rd
                                         
 
 
 
 
 
                                          "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,647000,550,0,0,0,"4 Bed Apartment with En Suite in Loresho
                                         
 
 
 
 
 
                                                4 Bed Apa"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,105000,0,0,0,0,"2 Bed Apartment with En Suite at Kilimani
                                         
 
 
 
 
 
                                                2 Bed Ap"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,110000,111,0,0,0,"2 Bed Apartment with En Suite at Riverside
                                         
 
 
 
 
 
                                                2 Bed A"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,65000,59,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Today                 
   
         
 
 
   12 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,65000,59,0,0,0,"1 Bed Apartment with Swimming Pool at Kileleshwa
                                         
 
 
 
 
 
                                                1"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,100000,0,0,0,0,"2 Bed Apartment with En Suite at Westlands
                                         
 
 
 
 
 
                                                2 Bed A"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,100000,0,0,0,0,"1 Bed Apartment with En Suite at Westlands
                                         
 
 
 
 
 
                                                1 Bed A"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,350000,0,0,0,0,"4 Bed Apartment in Karen
                                         
 
 
 
 
 
                                                4 Bed Apartment in Karen
"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,90000,0,0,0,0,"3 Bed Apartment with En Suite at Matumbato
                                         
 
 
 
 
 
                                                3 Bed A"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,90000,0,0,0,0,"3 Bed Apartment with En Suite at Dennis Pritt Road
                                         
 
 
 
 
 
                                               "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,210000,0,0,0,0,"4 Bed Apartment with En Suite at Kileleshwa
                                         
 
 
 
 
 
                                                4 Bed "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,120000,0,0,0,0,"3 Bed Apartment with En Suite at Westlands
                                         
 
 
 
 
 
                                                3 Bed A"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,100000,0,0,0,0,"2 Bed Apartment with Staff Quarters in Westlands Area
                                         
 
 
 
 
 
                                            "
Kilimani-Kileleshwa,Kileleshwa,Apartment,120000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    4 days ago                 
   
         
 
 
   6 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   "
Kilimani-Kileleshwa,Kileleshwa,Apartment,120000,0,0,0,0,"2 Bed Apartment with En Suite at Mandera Road
                                         
 
 
 
 
 
                                                2 Be"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,150000,0,0,0,0,"3 Bed Apartment with En Suite at Mandera Road
                                         
 
 
 
 
 
                                                3 Be"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,75000,0,0,0,0,"2 Bed Apartment with En Suite in Lavington
                                         
 
 
 
 
 
                                                2 Bed A"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,60000,0,0,0,0,"1 Bed Apartment with En Suite in Lavington
                                         
 
 
 
 
 
                                                1 Bed A"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,150000,0,0,0,0,"Serviced 1 Bed Apartment with En Suite in Westlands Area
                                         
 
 
 
 
 
                                         "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,55000,0,0,0,0,"1 Bed Apartment in Kilimani
                                         
 
 
 
 
 
                                                1 Bed Apartment in Kil"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,330000,0,0,0,0,"3 Bed Apartment with En Suite at Peponi Road
                                         
 
 
 
 
 
                                                3 Bed"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,110000,0,0,0,0,"Serviced 1 Bed Apartment with En Suite at Lavington
                                         
 
 
 
 
 
                                              "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,390000,250,0,0,0,"Furnished 3 Bed Apartment with En Suite at Peponi Rd
                                         
 
 
 
 
 
                                             "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,180000,0,0,0,0,"3 Bed Apartment with En Suite at Kilimani
                                         
 
 
 
 
 
                                                3 Bed Ap"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,95000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Yesterday                 
   
         
 
 
   14 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,85000,0,0,0,0,"2 Bed Apartment with En Suite at Lavington
                                         
 
 
 
 
 
                                                2 Bed A"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,400000,0,0,0,0,"4 Bed Apartment with En Suite at Spring Valley Off Lower Kabete Rd
                                         
 
 
 
 
 
                               "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,180000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
         
 
 
   12 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
 
 
   
 
 
 
 
 
 
 
 
 
     
                  "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,180000,0,0,0,0,"Serviced 2 Bed Apartment with En Suite at Chaka Road
                                         
 
 
 
 
 
                                             "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,180000,130,0,0,0,"Serviced 2 Bed Apartment with En Suite at Sports Road
                                         
 
 
 
 
 
                                            "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,65000,0,0,0,0,"1 Bed Apartment with En Suite at Lavington
                                         
 
 
 
 
 
                                                1 Bed A"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,70000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Yesterday                 
   
         
 
 
   6 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,70000,0,0,0,0,"1 Bed Apartment with Swimming Pool in Lavington
                                         
 
 
 
 
 
                                                1 "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,160000,135,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Yesterday                 
   
         
 
 
   20 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,160000,135,0,0,0,"2 Bed Apartment with En Suite at Westlands Road
                                         
 
 
 
 
 
                                                2 "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,645750,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Yesterday                 
   
         
 
 
   13 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,645000,0,0,0,0,"4 Bed Apartment with En Suite at Loresho
                                         
 
 
 
 
 
                                                4 Bed Apa"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,75000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Yesterday                 
   
         
 
 
   11 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,60000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Yesterday                 
   
         
 
 
   5 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,80000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Yesterday                 
   
         
 
 
   9 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,100000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Yesterday                 
   
         
 
 
   7 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,75000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Yesterday                 
   
         
 
 
   8 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   
"
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,100000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Yesterday                 
   
         
 
 
   12 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,100000,0,0,0,0,"Furnished 2 Bed Apartment with En Suite at Brookside Grove
                                         
 
 
 
 
 
                                       "
Kilimani-Kileleshwa,Kilimani-Kileleshwa,Apartment,95000,0,0,0,0,"0 
 
 
 
 
 
   
     
 
 
   
                    Yesterday                 
   
         
 
 
   17 
 
   
   
 
 
 
 
   
 
   
 
 
 
 
 
 
 
 
   "
